Filter,M3_total_s,M4_total_s,M3_per_frame_s,M4_per_frame_s,Speedup
LKF,6685.0,3647.0,2.1990131578947367,1.199671052631579,1.8330134357005758
EKF,12976.0,10223.0,4.268421052631579,3.362828947368421,1.2692947275750759
